Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation (%),1 Sexe candidat,1 Nom candidat,1 Prénom candidat,1 Etiquette liste,1 nuance,1 voix,1 Accès second tour,2 Sexe candidat,2 Nom candidat,2 Prénom candidat,2 Etiquette liste,2 nuance,2 voix,2 Accès second tour,3 Sexe candidat,3 Nom candidat,3 Prénom candidat,3 Etiquette liste,3 nuance,3 voix,3 Accès second tour,4 Sexe candidat,4 Nom candidat,4 Prénom candidat,4 Etiquette liste,4 nuance,4 voix,4 Accès second tour,5 Sexe candidat,5 Nom candidat,5 Prénom candidat,5 Etiquette liste,5 nuance,5 voix,5 Accès second tour,6 Sexe candidat,6 Nom candidat,6 Prénom candidat,6 Etiquette liste,6 nuance,6 voix,6 Accès second tour,7 Sexe candidat,7 Nom candidat,7 Prénom candidat,7 Etiquette liste,7 nuance,7 voix,7 Accès second tour,8 Sexe candidat,8 Nom candidat,8 Prénom candidat,8 Etiquette liste,8 nuance,8 voix,8 Accès second tour,9 Sexe candidat,9 Nom candidat,9 Prénom candidat,9 Etiquette liste,9 nuance,9 voix,9 Accès second tour,10 Sexe candidat,10 Nom candidat,10 Prénom candidat,10 Etiquette liste,10 nuance,10 voix,10 Accès second tour,11 Sexe candidat,11 Nom candidat,11 Prénom candidat,11 Etiquette liste,11 nuance,11 voix,11 Accès second tour,12 Sexe candidat,12 Nom candidat,12 Prénom candidat,12 Etiquette liste,12 nuance,12 voix,12 Accès second tour,13 Sexe candidat,13 Nom candidat,13 Prénom candidat,13 Etiquette liste,13 nuance,13 voix,13 Accès second tour,14 Sexe candidat,14 Nom candidat,14 Prénom candidat,14 Etiquette liste,14 nuance,14 voix,14 Accès second tour,15 Sexe candidat,15 Nom candidat,15 Prénom candidat,15 Etiquette liste,15 nuance,15 voix,15 Accès second tour,16 Sexe candidat,16 Nom candidat,16 Prénom candidat,16 Etiquette liste,16 nuance,16 voix,16 Accès second tour,17 Sexe candidat,17 Nom candidat,17 Prénom candidat,17 Etiquette liste,17 nuance,17 voix,17 Accès second tour,18 Sexe candidat,18 Nom candidat,18 Prénom candidat,18 Etiquette liste,18 nuance,18 voix,18 Accès second tour,19 Sexe candidat,19 Nom candidat,19 Prénom candidat,19 Etiquette liste,19 nuance,19 voix,19 Accès second tour,20 Sexe candidat,20 Nom candidat,20 Prénom candidat,20 Etiquette liste,20 nuance,20 voix,20 Accès second tour,21 Sexe candidat,21 Nom candidat,21 Prénom candidat,21 Etiquette liste,21 nuance,21 voix,21 Accès second tour,22 Sexe candidat,22 Nom candidat,22 Prénom candidat,22 Etiquette liste,22 nuance,22 voix,22 Accès second tour,23 Sexe candidat,23 Nom candidat,23 Prénom candidat,23 Etiquette liste,23 nuance,23 voix,23 Accès second tour,24 Sexe candidat,24 Nom candidat,24 Prénom candidat,24 Etiquette liste,24 nuance,24 voix,24 Accès second tour,25 Sexe candidat,25 Nom candidat,25 Prénom candidat,25 Etiquette liste,25 nuance,25 voix,25 Accès second tour,26 Sexe candidat,26 Nom candidat,26 Prénom candidat,26 Etiquette liste,26 nuance,26 voix,26 Accès second tour,,,,,,,,
19,CORREZE,2,66326,47206,45908,1298,"71,17%",M,PASCAL,CHRISTIAN,LUTTE OUVRIERE,EXG,330,N,M,IGUACEL,LIBERTO,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,505,N,M,PAMBOUTZOGLOU,ANDRE,PARTI COMMUNISTE FRANCAIS,COM,2622,N,M,NAUCHE,PHILIPPE,PARTI SOCIALISTE,SOC,15076,O,M,GAUT,CHRISTIAN,POLE REPUBLICAIN,DVG,218,N,M,LECANTE,MAX,COMMUNISTES,DVG,195,N,F,BOISSEAU,M.NICOLE,LES VERTS,ECO,1038,N,M,DESCHAMPS,J.CLAUDE,UNION POUR LA DEMOCRATIE FRANCAISE,UDF,2705,N,M,SOULIER,FREDERIC,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,18185,O,F,ROBOREL CLIMENS DE,CLAIRE,MOUVEMENT POUR LA FRANCE,DVD,424,N,M,FERAL,RAYMOND,FRONT NATIONAL,FRN,3050,N,M,DUCREUX,FRANCIS,MOUVEMENT NATIONAL REPUBLICAIN,EXD,386,N,M,HIRONDE,LOUIS,CHASSE PECHE NATURE ET TRADITIONS,DIV,1174,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CORREZE,3,52536,39977,38849,1128,"76,09%",M,LACARRERE,J.JACQUES,LUTTE OUVRIERE,EXG,405,N,M,COTTON,HERVE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,478,N,M,JULIEN,MICHEL,PARTI COMMUNISTE FRANCAIS,COM,2316,N,F,BOURZAI,BERNADETTE,PARTI SOCIALISTE,SOC,11168,O,F,EYMERIE,MURIEL,POLE REPUBLICAIN,DVG,526,N,M,PLAZANET,JEAN,COMMUNISTES,DVG,718,N,M,HUMBERT,FRANCIS,LES VERTS,ECO,693,N,M,DUPONT,J.PIERRE,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,19170,O,F,VIDAL,MARGUERITE,FRONT NATIONAL,FRN,1686,N,M,D'AGUANNO,ANTOINE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,208,N,M,NOUAILLE,REGIS,CHASSE PECHE NATURE ET TRADITIONS,DIV,1481,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,COTE-D'OR,1,63487,44023,43410,613,"69,34%",M,BONY,ALAIN,PARTI DES TRAVAILLEURS,EXG,142,N,M,COSTE,CHRISTIAN,LUTTE OUVRIERE,EXG,293,N,M,CAMPAGNAC,PIERRE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,301,N,M,REBSAMEN,FRANCOIS,PARTI SOCIALISTE,SOC,15934,O,M,MEKHANTAR,JOEL,POLE REPUBLICAIN,DVG,650,N,M,GATTEFOSSE,DANIEL,INITIATIVE REPUBLICAINE,DVG,51,N,M,BAUR,CHRISTOPHE,LES VERTS,ECO,842,N,F,FRECHIN,ALINE,GENERATION ECOLOGIE,ECO,108,N,F,BLANDIN,SYLVIE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,327,N,M,MENUT,GILBERT,UNION POUR LA DEMOCRATIE FRANCAISE,UDF,12,N,M,DEPIERRE,BERNARD,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,15334,O,M,JAPIOT,YVES,MAJORITE PRESIDENTIELLE,DVD,2991,N,M,GALLE,FREDERIC,LE PARTI DEMOCRATE,DVD,8,N,M,FAVRE,J.PIERRE,UNION DE LA DROITE REPUBLICAINE,DVD,1117,N,F,CARON,JULIE,MOUVEMENT POUR LA FRANCE,DVD,145,N,F,THYEBAULT,VERONIQUE,RASSEMBLEMENT POUR LA FRANCE,DVD,464,N,F,TERRADE,STEPHANIE,FRONT NATIONAL,FRN,4202,N,M,THIERIOT,FRANCOIS,MOUVEMENT NATIONAL REPUBLICAIN,EXD,243,N,F,GARD,JOSETTE,CHASSE PECHE NATURE ET TRADITIONS,DIV,142,N,M,LOISEL,DIDIER,GIP - DEMOCRATIE ACTIVE,DIV,59,N,M,RENAUD,SIMON,PARTI FEDERALISTE,DIV,45,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,COTE-D'OR,2,58516,38882,38244,638,"66,45%",F,COLIN,CHRISTINE,PARTI DES TRAVAILLEURS,EXG,157,N,F,LAMBERT,JACQUELINE,LUTTE OUVRIERE,EXG,348,N,F,HAIE,NAJATE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,367,N,F,POPARD,COLETTE,PARTI SOCIALISTE,SOC,12219,O,F,ARPIN,ODILE,POLE REPUBLICAIN,DVG,570,N,F,HERVIEU,CATHERINE,LES VERTS,ECO,1033,N,M,SALOMON,DOMINIQUE,GENERATION ECOLOGIE,ECO,158,N,M,VIOT,PATRICK,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,285,N,M,NUDANT,J.MARC,RASSEMBLEMENT POUR LA REPUBLIQUE,UMP,16317,O,M,SKOWRON,DANIEL,SANS ETIQUETTE,DVD,895,N,M,GAILLARD,FRANCK,FRONT NATIONAL,FRN,4899,N,M,JUBAULT,PATRICK,MOUVEMENT NATIONAL REPUBLICAIN,EXD,297,N,F,CONTANT,M.NOELLE,CHASSE PECHE NATURE ET TRADITIONS,DIV,450,N,M,ESTIVAL,HERVE,RASSEMBLEMENT DES CONTRIBUABLES FRANCAIS,DIV,193,N,M,BOURLET,FRANCOIS,GIP - DEMOCRATIE ACTIVE,DIV,56,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,COTE-D'OR,3,63336,40322,39570,752,"63,66%",F,VILLAUME,M.FRANCE,PARTI DES TRAVAILLEURS,EXG,218,N,F,NIANG,MONIQUE,LUTTE OUVRIERE,EXG,495,N,F,PATINET HOLLINGER,DANIELE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,736,N,F,DARCIAUX,C.ANNE,PARTI SOCIALISTE,SOC,13374,O,M,FALCONNET,THIERRY,POLE REPUBLICAIN,DVG,1800,N,M,SAUNIE,PATRICK,LES VERTS,ECO,1203,N,M,MERCIER,JACQUES,GENERATION ECOLOGIE,ECO,174,N,M,MULLER,PATRICK,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,276,N,M,BRENOT,LUCIEN,CENTRE NATIONAL DES INDEPENDANTS ET PAYSANS,DVD,14499,O,M,CAVIN,CHARLES,FRONT NATIONAL,FRN,5597,N,F,GROS,M.PAULE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,349,N,M,MONOT,MICHEL,CHASSE PECHE NATURE ET TRADITIONS,DIV,304,N,M,MATHIASIN,HERVE,CENTRE HUMAIN OUVERT A TOUS,DIV,452,N,M,DUDRAGNE,MICHEL,GIP - DEMOCRATIE ACTIVE,DIV,93,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,COTE-D'OR,4,68471,45827,44895,932,"66,93%",M,DENIZOT,MICHEL,LUTTE OUVRIERE,EXG,737,N,M,DESANTI,THIERRY,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1022,N,M,MOLINOZ,PATRICK,PARTI RADICAL DE GAUCHE,PRG,11721,O,F,VAYSSETTES,BRIGITTE,INITIATIVE REPUBLICAINE,DVG,98,N,F,DEFOREIT,COLETTE,LES VERTS,ECO,1074,N,F,TREYE,MONIQUE,GENERATION ECOLOGIE,ECO,192,N,M,LOMBARD,MARCEL,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,303,N,M,SAUVADET,FRANCOIS,UNION POUR LA DEMOCRATIE FRANCAISE,UDF,22498,N,F,SABATIER,LAURA,MOUVEMENT POUR LA FRANCE,DVD,541,N,F,LECONTE,M.CLAUDE,FRONT NATIONAL,FRN,5346,N,M,FRELET,PIERRE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,453,N,F,DUBARD,CAROLINE,CHASSE PECHE NATURE ET TRADITIONS,DIV,740,N,M,DANEL,ALAIN,GIP - DEMOCRATIE ACTIVE,DIV,55,N,M,KERLOUEGAN,VINCENT,RESEAU NOUVELLE DONNE,DIV,115,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,COTE-D'OR,5,77586,50867,49930,937,"65,56%",F,PETET,FRANCOISE,LUTTE OUVRIERE,EXG,442,N,M,THOMAS,JACQUES,SOLIDARITE ECOLOGIE GAUCHE ALTERNATIVE,EXG,464,N,F,ANDRE,YVETTE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,594,N,M,PATRIAT,FRANCOIS,PARTI SOCIALISTE,SOC,18770,O,M,FACCINI,J.NOEL,GENERATION ECOLOGIE,ECO,274,N,F,ESSAYAN,NICOLE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,476,N,M,SUGUENOT,ALAIN,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,20410,O,M,TRUCHIS DE,J.MAURICE,MOUVEMENT POUR LA FRANCE,DVD,502,N,F,JABOULET VERCHERRE,NICOLE,FRONT NATIONAL,FRN,6447,N,M,ALLEXANT,GERARD,MOUVEMENT NATIONAL REPUBLICAIN,EXD,385,N,M,COUTURIER,MICHEL,CHASSE PECHE NATURE ET TRADITIONS,DIV,735,N,F,CHARAU,CHANTAL,GIP - DEMOCRATIE ACTIVE,DIV,117,N,M,BOUCHER,HENRI,PARTI FEDERALISTE,DIV,83,N,M,BOUHEY,J.BAPTISTE,SANS ETIQUETTE,DIV,231,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,COTES-D'ARMOR,1,83820,56812,55794,1018,"67,78%",M,GAUTHIER,PATRICK,PARTI DES TRAVAILLEURS,EXG,193,N,M,LE FOL,ALAIN,LUTTE OUVRIERE,EXG,800,N,M,RENARD,EDOUARD,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1270,N,F,TARDIVEL,JEANNINE,PARTI COMMUNISTE FRANCAIS,COM,4244,N,F,BOUSQUET,DANIELLE,PARTI SOCIALISTE,SOC,19519,O,F,PARAIRE,MARYSE,POLE REPUBLICAIN,DVG,861,N,M,OLLIVRO,ANDRE,LES VERTS,ECO,2582,N,F,CHERBONNEL,ALICE,GENERATION ECOLOGIE,ECO,406,N,M,LE FAUCHEUR,YVES,UNION POUR LA DEMOCRATIE FRANCAISE,UDF,7235,N,F,DUBOIS,MIREILLE,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,14126,O,F,MASSE,CHRISTINE,MOUVEMENT POUR LA FRANCE,DVD,426,N,F,MARCAIS,TIEPHAINE,FRONT NATIONAL,FRN,2910,N,M,LE CERF,J.CLAUDE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,370,N,M,PEDRON,ROBERT,REGIONS ET PEUPLES SOLIDAIRES,DIV,852,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,COTES-D'ARMOR,2,86082,60747,59334,1413,"70,57%",M,OLLIVIER,CHRISTOPHE,PARTI DES TRAVAILLEURS,EXG,242,N,F,LEROUX,NELLY,LUTTE OUVRIERE,EXG,757,N,F,DESJARDINS,KATYUSHA,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,901,N,M,FAUCHEUR,HENRI,PARTI COMMUNISTE FRANCAIS,COM,1477,N,M,GAUBERT,JEAN,PARTI SOCIALISTE,SOC,22164,O,F,LUCAS,MARTINE,LES VERTS,ECO,2359,N,M,HESRY,BERNARD,GENERATION ECOLOGIE,ECO,399,N,M,VASPART,MICHEL,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,23583,O,M,DESVAUX,MARCEL,CENTRE NATIONAL DES INDEPENDANTS ET PAYSANS,DVD,246,N,M,LOUAPRE,YVES,SANS ETIQUETTE,DVD,919,N,M,GRAVIER,EMMANUEL,MOUVEMENT POUR LA FRANCE,DVD,503,N,M,BOISHAMON DU,CHARLES,FRONT NATIONAL,FRN,3508,N,M,JAFFRAIN,JACQUES,MOUVEMENT NATIONAL REPUBLICAIN,EXD,470,N,F,MEHEUST,VERONIQUE,CHASSE PECHE NATURE ET TRADITIONS,DIV,786,N,F,MONTAGNON,M.JOSE,MOUVEMENT REGIONALISTE DE BRETAGNE,DIV,467,N,F,GUERIN,CATHERINE,REGIONS ET PEUPLES SOLIDAIRES,DIV,553,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,COTES-D'ARMOR,3,83319,59674,58475,1199,"71,62%",M,COLLET,MARTIAL,LUTTE OUVRIERE,EXG,757,N,F,ERMEL,GWENNOLA,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,868,N,F,PRUNAUD,CHRISTINE,PARTI COMMUNISTE FRANCAIS,COM,1826,N,M,CHOUAT,DIDIER,PARTI SOCIALISTE,SOC,20947,O,M,LE HELLOCO,GUY,POLE REPUBLICAIN,DVG,2346,N,F,GRALL,DOMINIQUE,LES VERTS,ECO,2069,N,F,DELARUE,CAROLINE,GENERATION ECOLOGIE,ECO,255,N,M,LE FUR,MARC,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,25521,O,M,LAUNAY,P.MARIE,FRONT NATIONAL,FRN,2944,N,M,BOURVA,J.CLAUDE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,352,N,F,ROLLAND,RACHEL,REGIONS ET PEUPLES SOLIDAIRES,DIV,590,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,COTES-D'ARMOR,4,79125,55965,54778,1187,"70,73%",M,THORAVAL,YVES,LUTTE OUVRIERE,EXG,769,N,M,JOURDEN,GUY,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1594,N,M,LAHELLEC,GERARD,PARTI COMMUNISTE FRANCAIS,COM,8670,N,F,OGET,M.RENEE,PARTI SOCIALISTE,SOC,14360,O,M,BALBOT,MICHEL,LES VERTS,ECO,2272,N,M,GARIEPUY,STEPHANE,GENERATION ECOLOGIE,ECO,263,N,M,LE GOUX,J.PIERRE,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,11352,O,M,PENNEC,DANIEL,DIVERS DROITE,DVD,10446,O,F,COATPARQUET DE,MYRIAM,FRONT NATIONAL,FRN,2816,N,M,PERROT,ANDRE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,335,N,M,CHORON,MARCEL,CHASSE PECHE NATURE ET TRADITIONS,DIV,678,N,F,BRAS-CAILLAREC,MONA,REGIONS ET PEUPLES SOLIDAIRES,DIV,1223,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,COTES-D'ARMOR,5,97517,67500,66340,1160,"69,22%",M,LE PIVERT,FRANCOIS,PARTI DES TRAVAILLEURS,EXG,180,N,F,MENGUY,M.PIERRE,LUTTE OUVRIERE,EXG,1075,N,M,VITAL,PHILIPPE,SOLIDARITE ECOLOGIE GAUCHE ALTERNATIVE,EXG,969,N,F,FEJEAN,CLAUDINE,PARTI COMMUNISTE FRANCAIS,COM,2324,N,M,GOURIOU,ALAIN,PARTI SOCIALISTE,SOC,23971,O,M,BLIGNY,GERARD,POLE REPUBLICAIN,DVG,565,N,F,METAYER,ISABELLE,LES VERTS,ECO,2933,N,M,BOQUEHO,GERARD,GENERATION ECOLOGIE,ECO,479,N,M,SALEUN,J.RENAUD,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,22368,O,M,LOPEZ,GABRIEL,DIVERS DROITE,DVD,4776,N,F,STUDLER,MARGARET,MOUVEMENT POUR LA FRANCE,DVD,253,N,F,FERRER,MONIQUE,FRONT NATIONAL,FRN,3890,N,M,BLANC,RAYMOND,MOUVEMENT NATIONAL REPUBLICAIN,EXD,361,N,F,CHORON,FRANCE,CHASSE PECHE NATURE ET TRADITIONS,DIV,719,N,M,MORVAN,PIERRE,REGIONS ET PEUPLES SOLIDAIRES,DIV,1477,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CREUSE,1,51316,34559,33683,876,"67,35%",F,FAUCON,ELISABETH,LUTTE OUVRIERE,EXG,303,N,M,LAINE,JOEL,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,674,N,M,CHEZEAUD,ANDRE,PARTI COMMUNISTE FRANCAIS,COM,1742,N,M,VERGNIER,MICHEL,PARTI SOCIALISTE,SOC,13833,O,F,MOULIN,M.LUCE,POLE REPUBLICAIN,DVG,246,N,M,NICAND,GERARD,LES VERTS,ECO,611,N,M,FROMENT DE,BERNARD,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,9868,O,M,AUMAITRE,YVES,DIVERS DROITE,DVD,3842,N,F,LA CHAPELLE DE,MARIE,FRONT NATIONAL,FRN,1662,N,F,NEUVILLE,YOLANDE-SOPHIE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,179,N,M,RIGAUD,ANDRE,CHASSE PECHE NATURE ET TRADITIONS,DIV,587,N,M,WATRIN,LAURENT,DIVERS,DIV,136,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CREUSE,2,50509,35119,34021,1098,"69,53%",M,GORIZZUTTI,ROGER,LUTTE OUVRIERE,EXG,250,N,M,NGUYEN,CHRISTIAN,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,512,N,M,TEISSEDRE,ALAIN,PARTI COMMUNISTE FRANCAIS,COM,1378,N,M,MOINE,MICHEL,PARTI SOCIALISTE,SOC,10962,O,M,FOURNIOUX,PASCAL,POLE REPUBLICAIN,DVG,101,N,F,PONT,SYLVIE,LES VERTS,ECO,364,N,F,TREBUCHET,CHRISTINE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,200,N,M,AUCLAIR,JEAN,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,15278,O,F,LATOUR,MICHELE,MOUVEMENT POUR LA FRANCE,DVD,999,N,M,ROUX,MAX,FRONT NATIONAL,FRN,1723,N,M,JACOB,FERNAND,MOUVEMENT NATIONAL REPUBLICAIN,EXD,243,N,M,BIHAN LE,PASCAL,CHASSE PECHE NATURE ET TRADITIONS,DIV,529,N,M,YVERNAULT,CHRISTOPHE,DIVERS,DIV,123,N,M,RUINAUD,J.FRANCOIS,DIVERS,DIV,1359,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,DORDOGNE,1,72869,51136,49530,1606,"70,18%",F,TORRES,JOSEFA,LUTTE OUVRIERE,EXG,566,N,F,PICHER,FABIENNE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1003,N,F,CHAMBRE,MICHELLE,PARTI COMMUNISTE FRANCAIS,COM,3942,N,M,DASSEUX,MICHEL,ASSOCIATION PS PRG ET APPARENTES,PRG,16405,O,F,CLAUZURE,LUCIENNE,POLE REPUBLICAIN,DVG,431,N,M,LABROUSSE,PATRICK,LES VERTS,ECO,2018,N,M,AGULLO,LIONEL,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,267,N,M,CORNET,PHILIPPE,DEMOCRATIE LIBERALE,UDF,5204,N,F,DELATTRE,NATHALIE,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,13619,O,M,ZILLHARDT,LYONEL,MOUVEMENT POUR LA FRANCE,DVD,326,N,M,CARTIER,J.YVES,FRONT NATIONAL,FRN,3682,N,M,DEBEVER,MICHEL,MOUVEMENT NATIONAL REPUBLICAIN,EXD,389,N,F,MONTEIL,CHRISTINE,CHASSE PECHE NATURE ET TRADITIONS,DIV,836,N,F,PONGY,MIREILLE,UNION POUR LA MAJORITE PRESIDENTIELLE,DIV,603,N,M,BONNAVAL,XAVIER,SANS ETIQUETTE,DIV,239,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,DORDOGNE,2,77503,54118,52694,1424,"69,83%",F,ROUSSEAU,LILIANE,LUTTE OUVRIERE,EXG,586,N,F,PENY,VALERIE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1236,N,F,LABARTHE,CECILE,PARTI SOCIALISTE PARTI COMMUNISTE,SOC,12901,O,M,SUCHOD,MICHEL,POLE REPUBLICAIN,DVG,5043,N,F,VINCENT,BERENICE,LES VERTS,ECO,1087,N,F,FERDY,M.CLAUDE,CITOYENNETE ACTION PARTICIPATION POUR LE 21E SIECLE,ECO,895,N,F,DUCOURNEAU,CATHERINE,"ENVIRONNEMENT ET RADICALISME, UNE VRAIE ",ECO,284,N,M,GARRIGUE,DANIEL,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,20917,O,F,PEYRET LACOMBE,M.GABRIELLE,FRONT NATIONAL,FRN,5018,N,M,DURIN,L.PIERRE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,2877,N,M,DUPPI,PASCAL,CHASSE PECHE NATURE ET TRADITIONS,DIV,1568,N,M,PONTALIER,FRANCOIS,REGIONS ET PEUPLES SOLIDAIRES,DIV,282,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,DORDOGNE,3,71072,53195,51647,1548,"74,85%",M,DECOUPY,JACQUES,LUTTE OUVRIERE,EXG,519,N,M,BOYARD,ERIC,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1019,N,M,DUTIN,RENE,PARTI COMMUNISTE FRANCAIS,COM,11207,O,M,DEBET,MICHEL,PARTI SOCIALISTE,SOC,10053,O,M,BONNET,PATRICK,PARTI RADICAL DE GAUCHE,PRG,1476,N,M,CHANSEAU,J.LOUIS,LES VERTS,ECO,1199,N,M,SAINT-SERNIN DE,FREDERIC,UNION POUR LA MAJORITE PRESIDENTIELLE,UMP,20446,O,M,VERDIER,P.HENRI,MOUVEMENT POUR LA FRANCE,DVD,345,N,M,LABORIE DE,FRANCOIS,FRONT NATIONAL,FRN,3031,N,F,DRUON,MICHELLE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,362,N,M,DUEZ,ABEL,DEFENDONS LA CHASSE ET NOS TRADITIONS,EXD,1045,N,M,GRAINDORGE,J.PIERRE,CHASSE PECHE NATURE ET TRADITIONS,DIV,945,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
